rating_band,chart_id,record_count,player_count,best50_count,best50_user_count,band_user_count,user_count,profile_count,total_users_in_band,best50_rate,avg_achievement,median_achievement,sss_rate,sss_plus_rate,sssplus_rate,avg_chart_rating,max_chart_rating,title,difficulty,level,internal_level,chart_type,category,is_new,best50_section
13500-13999,サイエンス__dx__master,1,1,1,1,2,2,2,2,0.5,100.3292,100.3292,1.0,0.0,0.0,281.0,281,サイエンス,master,13,13.0,dx,niconico＆ボーカロイド,False,new
13500-13999,デビルじゃないもん__dx__master,1,1,1,1,2,2,2,2,0.5,100.1571,100.1571,1.0,0.0,0.0,281.0,281,デビルじゃないもん,master,13,13.0,dx,niconico＆ボーカロイド,False,old
13500-13999,ワールドワイドワンダー__dx__master,1,1,1,1,2,2,2,2,0.5,100.4196,100.4196,1.0,0.0,0.0,281.0,281,ワールドワイドワンダー,master,13,13.0,dx,niconico＆ボーカロイド,False,old
13500-13999,INTERNET OVERDOSE__dx__master,1,1,1,1,2,2,2,2,0.5,99.1159,99.1159,0.0,0.0,0.0,278.0,278,INTERNET OVERDOSE,master,13,13.5,dx,POPS＆アニメ,False,old
13500-13999,プリズム△▽リズム__dx__master,1,1,1,1,2,2,2,2,0.5,99.8638,99.8638,0.0,0.0,0.0,273.0,273,プリズム△▽リズム,master,13,13.0,dx,maimai,False,old
13500-13999,勝手に生きましょ__dx__master,1,1,1,1,2,2,2,2,0.5,99.8538,99.8538,0.0,0.0,0.0,273.0,273,勝手に生きましょ,master,13,13.0,dx,POPS＆アニメ,False,new
13500-13999,ダーリンダンス__dx__remaster,1,1,1,1,2,2,2,2,0.5,98.9813,98.9813,0.0,0.0,0.0,271.0,271,ダーリンダンス,remaster,13,13.5,dx,niconico＆ボーカロイド,False,old
13500-13999,まっすぐ→→→ストリーム！__dx__master,1,1,1,1,2,2,2,2,0.5,98.5597,98.5597,0.0,0.0,0.0,270.0,270,まっすぐ→→→ストリーム！,master,13,13.5,dx,オンゲキ＆CHUNITHM,False,old
13500-13999,ホシシズク__dx__master,1,1,1,1,2,2,2,2,0.5,99.2663,99.2663,0.0,0.0,0.0,270.0,270,ホシシズク,master,13,13.1,dx,maimai,False,old
13500-13999,インドア系ならトラックメイカー__dx__master,1,1,1,1,2,2,2,2,0.5,98.9052,98.9052,0.0,0.0,0.0,269.0,269,インドア系ならトラックメイカー,master,13,13.4,dx,POPS＆アニメ,False,old
