profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,地球__dx__master,地球,地球,地球,master,14,14.3,dx,100.526,SSS+,321,321,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Climax__dx__master,Climax,Climax,Climax,master,14,14.3,dx,100.505,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,デッドマンズバラッド__dx__master,デッドマンズバラッド,デッドマンズバラッド,デッドマンズバラッド,master,14,14.2,dx,100.8761,SSS+,319,319,old,niconico＆ボーカロイド,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,美夜月鏡__dx__master,美夜月鏡,美夜月鏡,美夜月鏡,master,14,14.1,dx,100.6252,SSS+,319,317,old,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,インパアフェクシオン・ホワイトガアル__dx__master,インパアフェクシオン・ホワイトガアル,インパアフェクシオン・ホワイトガアル,インパアフェクシオン・ホワイトガアル,master,14,14.2,dx,100.6178,SSS+,319,319,old,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,きたさいたま2000__std__master,きたさいたま2000,きたさいたま2000,きたさいたま2000,master,14,14.2,std,100.5523,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,BULK UP (GAME EXCLUSIVE EDIT)__dx__master,BULK UP (GAME EXCLUSIVE EDIT),BULK UP (GAME EXCLUSIVE EDIT),BULK UP (GAME EXCLUSIVE EDIT),master,14,14.2,dx,100.5114,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Chronomia__dx__master,Chronomia,Chronomia,Chronomia,master,14,14.2,dx,100.5109,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Cryptarithm__dx__master,Cryptarithm,Cryptarithm,Cryptarithm,master,14+,14.6,dx,100.2487,SSS,318,316,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,雨露霜雪__dx__master,雨露霜雪,雨露霜雪,雨露霜雪,master,14+,14.6,dx,100.0716,SSS,317,315,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,ガラテアの螺旋__std__remaster,ガラテアの螺旋,ガラテアの螺旋,ガラテアの螺旋,remaster,14+,14.7,std,100.0084,SSS,317,317,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,火炎地獄__std__master,火炎地獄,火炎地獄,火炎地獄,master,14,14.1,std,100.5965,SSS+,317,317,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Love's Theme of BADASS ～バッド・アス 愛のテーマ～__dx__master,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,Love's Theme of BADASS ~バッド・アス 愛のテーマ~,master,14,14.1,dx,100.5799,SSS+,317,317,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,R'N'R Monsta__dx__master,R'N'R Monsta,R'N'R Monsta,R'N'R Monsta,master,14,14.1,dx,100.5582,SSS+,317,317,old,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,FREEDOM DiVE (tpz Overcute Remix)__std__master,FREEDOM DiVE (tpz Overcute Remix),FREEDOM DiVE (tpz Overcute Remix),FREEDOM DiVE (tpz Overcute Remix),master,14,14.1,std,100.5565,SSS+,317,317,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,火炎地獄__dx__master,火炎地獄,火炎地獄,火炎地獄,master,14,14.1,dx,100.5464,SSS+,317,317,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Credits__std__master,Credits,Credits,Credits,master,14+,14.6,std,100.2333,SSS,316,316,old,ゲーム＆バラエティ,,,False
